var2,var3,var4
2.1,1,NA
2.1,1,NA
2.1,1,NA
2.1,1,NA
2.1,1,NA
2.1,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.72,1,NA
2.72,1,NA
2.72,1,NA
2.72,1,NA
2.72,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.22,1,NA
2.22,1,NA
2.22,1,NA
2.22,1,NA
2.22,1,NA
2.22,1,NA
2.22,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
1.77,1,NA
1.77,1,NA
1.77,1,NA
1.77,1,NA
1.77,1,NA
1.77,1,NA
1.77,1,NA
1.77,1,NA
1.77,1,NA
0.9,1,NA
0.9,1,NA
0.9,1,NA
0.9,1,NA
0.9,1,NA
1.8,1,NA
1.8,1,NA
1.8,1,NA
1.8,1,NA
0.9,1,NA
0.9,1,NA
0.9,1,NA
0.9,1,NA
0.9,1,NA
2.46,1,NA
2.46,1,NA
2.46,1,NA
2.46,1,NA
2.46,1,NA
2.46,1,NA
2.46,1,NA
2.21,1,NA
2.21,1,NA
2.21,1,NA
2.21,1,NA
1.84,1,NA
1.84,1,NA
1.84,1,NA
1.84,1,NA
1.84,1,NA
1.34,1,NA
1.34,1,NA
1.34,1,NA
2.37,1,NA
2.37,1,NA
2.37,1,NA
2.37,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
1.5,1,NA
1.5,1,NA
1.5,1,NA
1.5,1,NA
1.5,1,NA
1.5,1,NA
1.5,1,NA
1.5,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
0.9,1,NA
0.9,1,NA
0.9,1,NA
0.9,1,NA
0.9,1,NA
0.9,1,NA
0.9,1,NA
1.8,1,NA
1.8,1,NA
1.8,1,NA
2.25,1,NA
2.25,1,NA
2.25,1,NA
2.25,1,NA
2.25,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
0.9,1,NA
0.9,1,NA
0.9,1,NA
0.9,1,NA
0.9,1,NA
2.13,1,NA
2.13,1,NA
2.13,1,NA
2.13,1,NA
2.13,1,NA
2.13,1,NA
2.13,1,NA
2.58,1,NA
2.58,1,NA
2.58,1,NA
2.58,1,NA
2.58,1,NA
2.58,1,NA
2.58,1,NA
2.58,1,NA
1.77,1,NA
1.77,1,NA
1.77,1,NA
1.77,1,NA
1.77,1,NA
1.77,1,NA
1.94,1,NA
1.94,1,NA
1.77,1,NA
1.77,1,NA
1.77,1,NA
1.77,1,NA
1.77,1,NA
1.77,1,NA
1.76,1,NA
1.76,1,NA
1.76,1,NA
1.76,1,NA
1.28,1,NA
1.28,1,NA
1.28,1,NA
1.28,1,NA
1.28,1,NA
1.28,1,NA
1.28,1,NA
1.37,1,NA
1.37,1,NA
1.37,1,NA
1.37,1,NA
1.37,1,NA
1.34,1,NA
1.34,1,NA
1.34,1,NA
2.48,1,NA
2.48,1,NA
2.36,1,NA
2.36,1,NA
2.36,1,NA
2.36,1,NA
2.36,1,NA
1.13,1,NA
1.13,1,NA
1.13,1,NA
1.13,1,NA
1.13,1,NA
1.83,1,NA
1.83,1,NA
1.83,1,NA
1.83,1,NA
1.83,1,NA
1.13,1,NA
1.13,1,NA
1.13,1,NA
1.13,1,NA
1.13,1,NA
1.87,1,NA
1.87,1,NA
2.38,1,NA
2.38,1,NA
2.38,1,NA
2.38,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2.85,2,NA
2.85,2,NA
2.85,2,NA
2.62,1,NA
2.62,1,NA
2.62,1,NA
2.62,1,NA
2.62,1,NA
2.62,1,NA
2.26,1,NA
2.26,1,NA
2.26,1,NA
2.26,1,NA
2.26,1,NA
2.26,1,NA
2.26,1,NA
2.26,1,NA
2.62,1,NA
2.62,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
1.49,1,NA
1.49,1,NA
1.49,1,NA
1.49,1,NA
1.49,1,NA
2.8,1,NA
2.8,1,NA
2.8,1,NA
2.8,1,NA
2.8,1,NA
2.8,1,NA
2.8,1,NA
2.8,1,NA
2.8,1,NA
2.8,1,NA
2.8,1,NA
2.8,1,NA
2.8,1,NA
2.8,1,NA
0.55,1,NA
0.55,1,NA
0.55,1,NA
0.55,1,NA
0.55,1,NA
0.55,1,NA
1.77,1,NA
1.77,1,NA
1.77,1,NA
1.4,1,NA
1.4,1,NA
1.4,1,NA
1.4,1,NA
1.4,1,NA
1.24,1,NA
1.24,1,NA
1.24,1,NA
1.24,1,NA
1.24,1,NA
1.24,1,NA
1.91,1,NA
1.91,1,NA
1.91,1,NA
1.91,1,NA
2.8,1,NA
2.8,1,NA
2.8,1,NA
2.8,1,NA
2.8,1,NA
2.8,1,NA
2.84,1,NA
2.84,1,NA
2.84,1,NA
2.84,1,NA
2.8,1,NA
2.8,1,NA
2.8,1,NA
2.8,1,NA
2.8,1,NA
2.8,1,NA
2.8,1,NA
1.8,1,NA
1.8,1,NA
1.8,1,NA
1.8,1,NA
1.8,1,NA
1.26,1,NA
1.26,1,NA
1.26,1,NA
1.26,1,NA
1.26,1,NA
1.69,1,NA
1.69,1,NA
1.69,1,NA
1.69,1,NA
1.69,1,NA
1.8,1,NA
1.8,1,NA
1.8,1,NA
1.8,1,NA
1.8,1,NA
1.8,1,NA
1.13,1,NA
1.13,1,NA
1.13,1,NA
1.13,1,NA
1.13,1,NA
1.13,1,NA
1.13,1,NA
2,1,NA
2,1,NA
1.9,1,NA
1.9,1,NA
1.9,1,NA
1.9,1,NA
1.9,1,NA
1.13,1,NA
1.13,1,NA
1.13,1,NA
1.13,1,NA
1.13,1,NA
2.85,1,NA
2.85,1,NA
2.85,1,NA
2.85,1,NA
2.85,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
1.6,1,NA
1.6,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
1.6,1,NA
1.6,1,NA
1.6,1,NA
2.8,1,NA
2.8,1,NA
2.8,1,NA
2.8,1,NA
1.6,1,NA
1.6,1,NA
1.6,1,NA
1.6,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2.3,1,NA
2.3,1,NA
2.3,1,NA
2.3,1,NA
2.3,1,NA
2.3,1,NA
2.3,1,NA
2.3,1,NA
2.3,1,NA
1.4,1,NA
1.4,1,NA
1.4,1,NA
2.98,1,NA
2.98,1,NA
2.98,1,NA
2.98,1,NA
2.98,1,NA
2.98,1,NA
2.98,1,NA
1.35,1,NA
1.35,1,NA
1.35,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
1.24,1,NA
1.24,1,NA
1.24,1,NA
1.24,1,NA
1.24,1,NA
1.24,1,NA
1.24,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
1.9,1,NA
1.9,1,NA
1.9,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
1.24,1,NA
1.24,1,NA
1.24,1,NA
1.3,1,NA
1.3,1,NA
1.3,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.14,1,NA
2.14,1,NA
2.14,1,NA
1.95,1,NA
1.95,1,NA
3.27,2,NA
3.27,2,NA
3.27,2,NA
3.27,2,NA
3.27,2,NA
3.3,2,NA
3.3,2,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
1.97,1,NA
1.97,1,NA
1.97,1,NA
1.97,1,NA
1.97,1,NA
3.27,2,NA
3.27,2,NA
3.27,2,NA
3.27,2,NA
3.27,2,NA
3.27,2,NA
3.27,2,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
1,1,NA
1,1,NA
1,1,NA
1,1,NA
3.27,2,NA
3.27,2,NA
3.27,2,NA
3.27,2,NA
3.27,2,NA
3.27,2,NA
3.27,2,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
1.8,1,NA
1.8,1,NA
1.8,1,NA
1.8,1,NA
1.8,1,NA
1.8,1,NA
1.8,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
1.94,1,NA
1.94,1,NA
1.94,1,NA
1.94,1,NA
1.3,1,NA
1.3,1,NA
1.3,1,NA
1.3,1,NA
2.74,1,NA
2.74,1,NA
2.74,1,NA
2.74,1,NA
2.74,1,NA
2.74,1,NA
2.74,1,NA
2.74,1,NA
2.74,1,NA
1.2,1,NA
1.2,1,NA
1.2,1,NA
1.2,1,NA
1.2,1,NA
1.34,1,NA
1.34,1,NA
1.7,1,NA
1.7,1,NA
1.7,1,NA
1.2,1,NA
1.2,1,NA
1.2,1,NA
1.2,1,NA
1.2,1,NA
1.2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
1.2,1,NA
1.2,1,NA
1.2,1,NA
2,1,NA
2,1,NA
1.36,1,NA
1.36,1,NA
1.36,1,NA
1.36,1,NA
1.36,1,NA
1.36,1,NA
1.76,1,NA
1.76,1,NA
1.85,1,NA
1.85,1,NA
2.5,1,NA
2.5,1,NA
2.5,1,NA
2.5,1,NA
2.5,1,NA
1.1,1,NA
1.1,1,NA
1.1,1,NA
1.87,1,NA
1.87,1,NA
1.87,1,NA
2.82,1,NA
2.82,1,NA
2.82,1,NA
2.82,1,NA
2.82,1,NA
1.98,1,NA
1.98,1,NA
1.98,1,NA
1.98,1,NA
1.98,1,NA
1.84,1,NA
1.84,1,NA
2.46,1,NA
2.46,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
1.72,1,NA
1.72,1,NA
1.86,1,NA
1.86,1,NA
1.36,1,NA
1.36,1,NA
1.36,1,NA
1.36,1,NA
2.04,1,NA
2.04,1,NA
2.04,1,NA
2.04,1,NA
2.04,1,NA
1.2,1,NA
1.2,1,NA
1.2,1,NA
1.2,1,NA
1.2,1,NA
2.4,1,NA
2.4,1,NA
2.4,1,NA
2.4,1,NA
2.4,1,NA
2.4,1,NA
1.95,1,NA
1.95,1,NA
1.95,1,NA
1.95,1,NA
1.95,1,NA
1.78,1,NA
1.78,1,NA
1.78,1,NA
1.78,1,NA
1.63,1,NA
1.63,1,NA
1.63,1,NA
1.63,1,NA
1.63,1,NA
1.43,1,NA
1.43,1,NA
1.43,1,NA
1.43,1,NA
1.77,1,NA
1.77,1,NA
1.77,1,NA
1.77,1,NA
1.18,1,NA
1.18,1,NA
1.18,1,NA
1.18,1,NA
1.18,1,NA
1.18,1,NA
1.18,1,NA
1.91,1,NA
1.91,1,NA
1.91,1,NA
1.91,1,NA
1.91,1,NA
1.91,1,NA
1.91,1,NA
1.76,1,NA
1.76,1,NA
1.76,1,NA
1.76,1,NA
1.76,1,NA
1.76,1,NA
1.76,1,NA
1.76,1,NA
1.24,1,NA
1.24,1,NA
1.24,1,NA
1.24,1,NA
1.24,1,NA
1.49,1,NA
1.49,1,NA
1.49,1,NA
1.49,1,NA
1.49,1,NA
1.49,1,NA
1.49,1,NA
1.62,1,NA
1.62,1,NA
1.62,1,NA
1.62,1,NA
1.62,1,NA
1.62,1,NA
1.28,1,NA
1.28,1,NA
1.28,1,NA
1.28,1,NA
1.28,1,NA
1.28,1,NA
1.28,1,NA
1.28,1,NA
1.28,1,NA
1.3,1,NA
1.3,1,NA
1.3,1,NA
1.3,1,NA
1.3,1,NA
1.43,1,NA
1.43,1,NA
1.43,1,NA
1.43,1,NA
1.43,1,NA
2.1,1,NA
2.1,1,NA
2.1,1,NA
2.1,1,NA
2.1,1,NA
2.1,1,NA
2.1,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
2,1,NA
1.6,1,NA
1.6,1,NA
1.6,1,NA
1.6,1,NA
1.6,1,NA
1.52,1,NA
1.52,1,NA
1.52,1,NA
1.5,1,NA
1.5,1,NA
1.5,1,NA
1.5,1,NA
1.5,1,NA
1.5,1,NA
1.5,1,NA
1.27,1,NA
1.27,1,NA
1.27,1,NA
1.27,1,NA
1.27,1,NA
1.27,1,NA
1.27,1,NA
1.27,1,NA
1.27,1,NA
1.27,1,NA
1.27,1,NA
1.27,1,NA
1.1,1,NA
1.1,1,NA
1.1,1,NA
1.1,1,NA
1.27,1,NA
1.27,1,NA
1.27,1,NA
1.27,1,NA
4.64,1,NA
4.64,1,NA
4.64,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
2.54,1,NA
